shop,full_name,username,district,schedule_source,related_usernames,note
Labubu,Labubu顶颜女仆恋爱体验,labubu7592,上城区,labubu7592,labubu7592,
pupu,pupu女仆恋爱聊天群,SCpupu_exchange,上城区,SCpupu_exchange,SCpupu_exchange,
绮梦,杭州上城绮梦恋爱女仆馆,wodunau,上城区,wodunau,wodunau,
优乐美,杭州【优乐美】女仆陪玩交流群,xdhye,上城区,xdhye,xdhye|xdhyq,
养只小猫,养只小猫排班表,yangzhixiaomao520,上城区,yangzhixiaomao520,yangzhixiaomao520|yangzhixiaomao,
初心,初心恋爱体验馆,cxlajlq,上城区,cxlatyg,cxlajlq|cxlatyg,
初见,初见女仆恋爱体验馆,leyouyounvpu,上城区,leyouyounvpu,leyouyounvpu,
千夜,千夜.私影陪玩,qianyesiying,上城区,qianyesiying,qianyesiying,黑名单店铺，不抓取
古茗,古茗女仆交流群,gumingpb,上城区,guming66888,gumingpb|guming66888|gumingcp,这家店的排班是频道里面
可可屋,可可屋喫茶室🏠,tianzhilianzhuyou,上城区,tianzhilianzhuyou,tianzhilianzhuyou|tianzhilianmsvzj,
吉野岛,杭州吉野岛女仆交流群2.0,jiyedao258,上城区,jiyedao258,jiyedao258,
四叶草,💗杭州四叶草交流群💗,hangzhousiyecao3,上城区,hangzhousiyecao3,hangzhousiyecao3|hangzhousiyecao6|hangzhousiyecao5,
春野,HARUNO春野女仆档案夹,harunohzpd,上城区,harunohzq,harunohzpd|harunohzq,
YOYO,杭州女仆YOYO恋爱体验馆,hznplaq,上城区,hznpkklpd,hznplaq|hznpkklpd|hznplacpq,
桃奈奈,杭州桃奈奈交流群,Taonn8,上城区,Taonn7,Taonn8|Taonn7|Taonn9,
梦之境,梦之境女仆频道,mzjnppd,上城区,mzjnpjlq,mzjnppd|mzjnpjlq|mzjnpcp,
塔菲喵,塔菲喵交流群,ouruola123,上城区,ouruolanvpu,ouruola123|ouruol|ouruolanvpu,原名欧若拉
欲池,杭州欲池恋爱体验馆,yuchi69,上城区,yuchi6699,yuchi69|yuchi6699,
深藏blue,深藏blue女仆交流,bluepindao,上城区,bluexxoo,bluepindao|bluexxoo|bluejiancha,
爱尚,杭州爱尚女仆AS(上城),bjEverlovenp,上城区,bjEverlovenp,bjEverlovenp|bjlanvty|ylnpcpq,
白天鹅,杭州白天鹅女仆交流群,BTEovo,上城区,BTE101,BTEovo|BTE101,
白月光,杭州白月光女仆(上城店),tmt122313,上城区,tmt122313,tmt122313|tmt2024tmt|tmt1223136949,
胡春,杭州胡春女仆馆,hzhc999999,上城区,hzhc999999,hzhc999999|hzhc888888,
胡梨,杭州胡梨女仆馆,hzhulinvpuguan,上城区,hzhulinvpuguan,hzhulinvpuguan|hznnvouguanpindaohb|hulixiangrui|hulixinren,
荣耀峡谷,荣耀峡谷 女仆恋爱匹配馆,ohy0571,上城区,ohy0571,ohy0571|rongyaoxiagu0571,
萌兔,州萌兔清欢女仆恋爱,hzmtnvpu,上城区,hzmtnvpu,hzmtnvpu|MTJLQ521|MTJLCP522,
蜜穴,蜜🍯xue女仆店,mixuenvouceping1,上城区,mixuenvouceping1,mixuenvouceping1|mixueceping1,
西西里,西西里恋爱体验馆,xixilinvputiyanguan888,上城区,xixilinvputiyanguan888,xixilinvputiyanguan888|Sicily_moments,
触热,杭州触热女仆恋爱屋,hzchurepind,上城区,hzchurepind,hzchurepind|churechuishui1|churenvpuceping,
软兔,软兔女仆恋爱体验馆,shIranNP,上城区,shIranNP,shIranNP|ruantujlq|RTNPCP,
金克丝,杭州金克丝女仆,jinkesinp,上城区,jinkesinp,jinkesinp,
阿里巴巴,阿里巴巴乐园,albbly,上城区,albbly,albbly|albbpindao|albbcepin,
青青草原,青青草原闲聊群,qqcyxlq,上城区,qqcyxlq,qqcyxlq|qqcypbb|qqcycp,
香飘飘,香飘飘交流基地,fwef5654,上城区,nvpuguan159,fwef5654|nvpuguan159|xiongmao1994305,
不如遇见,不如遇见恋爱❤️‍🔥体验馆,bryj006,西湖区,bryj006,bryj006|bryj008,
JOJO,JOJO女仆馆聊天群,JOJO88770,拱墅区,JOJO88770,JOJO88770|JOJOnp0000,
Kitty岛,Kitty岛恋爱日记女仆馆,hello_kittynvpuguan,拱墅区,hello_kittynvpuguan,hello_kittynvpuguan|hellokittypingce,
唤灵,杭州唤灵女仆体验馆,HuanLing_cs,拱墅区,HuanLing_fb,HuanLing_cs|HuanLing_fb|HuanLing_cp|HuanLing_zl,
圆圆,圆圆女仆馆,xiaoyipaibanqun,拱墅区,xiaoyipaibanqun,xiaoyipaibanqun|xiaoyigongkaiqun|xynycpq|xiaoyinvpuguanxianliaoqun,这家店的排班是频道里面
大海星辰,大海星辰798女仆交流群,dahaixingchen79888,拱墅区,dahaixingchen79888,dahaixingchen79888|dahaixingchen527988,
奶芙萌屋,奶芙萌屋女仆恋爱馆,naifu668855,拱墅区,naifu520520,naifu668855|naifu520520|naifu668866,
小红帽,杭州小红帽の聊天群,pornlulunetcat582,拱墅区,pornlulunetcat582,pornlulunetcat582,
尼莫,尼莫女仆恋爱馆,nimolove07,拱墅区,nimolove07,nimolove07|nimolove03|nimolove08,这家店的排班是频道里面
怦然心动,怦然心动💓女仆交流群（进阶版）,hangzhouprxdnvp,拱墅区,hangzhouprxdnvp,hangzhouprxdnvp|uejgtnn13,
春上春树,春上春树女仆交流群,cscsnpjlq780,拱墅区,chunshangchunshu,cscsnpjlq780|chunshangchunshu|chunsh345,
暧昧天使,杭州暧昧天使女仆交流群,hzamtsnp,拱墅区,hzamtsnp,hzamtsnp|amtsnvpu|amtsnvpucp,
月离,月离女仆讨论群,xjsnxkdj,拱墅区,jzmsoxj,xjsnxkdj|jzmsoxj|shxjxjdm,
欢乐岛,欢乐岛女仆馆频道,hld520,拱墅区,hld520,hld520|hld253|hld688,
溏心阁,溏心阁女仆馆讨论组,tangxinge5669,拱墅区,tangxinge5669,tangxinge5669|tangxinge5771|tangxinge7889,
牛逗宝宝,杭州牛逗女仆,ndbbnvppaiban,拱墅区,ndbbpug,ndbbnvppaiban|ndbbpug|ndbbcpq,这家店的排班是频道里面
甜屿,甜屿女仆陪玩交流群,mengyouxianjing1,拱墅区,mengyouxianjing1,mengyouxianjing1|tianyuceping|lunazhizhenmeng,
芸里,杭州芸里恋爱频道,yunlilianai2025pd,拱墅区,yunlilianai2025pd,yunlilianai2025pd|yunlilianai2025,
董小姐,董小姐女仆馆,DXJNPJLQ,拱墅区,DXJNPJLQ,DXJNPJLQ|HZDXJPD|HZDXJCPQ,
软糖熊,软糖熊的恋爱小屋,ruantangxiong888,拱墅区,ruantangxiong888,ruantangxiong888|ruantangxiong798,
迷之魅惑,杭州迷之魅惑女仆恋爱体验馆,mzmh999,拱墅区,mzmh999,mzmh999|foryinlove99,
